37.7,1,100
37.81,1,100
37.92,1,100
38.03,1,100
38.14,1,101
38.25,1,101
38.36,1,101
38.47,1,101
38.58,1,101
38.69,1,101
38.8,1,101
38.91,1,101
39.02,1,101
39.13,1,101
39.23,1,101
39.34,1,101
39.45,1,101
39.56,1,101
39.67,1,101
39.78,1,101
39.89,1,102
40,1,102
40.11,1,102
40.22,1,102
40.33,1,102
40.44,1,102
40.55,1,102
40.66,1,102
40.77,1,102
40.88,1,102
40.98,1,102
41.09,1,102
41.2,1,102
41.31,1,102
41.42,1,102
41.53,1,102
41.64,1,102
41.75,1,102
41.86,1,102
41.97,1,102
42.08,1,102
42.19,1,102
42.3,1,102
42.41,1,102
42.52,1,102
42.63,1,102
42.73,1,102
42.84,1,102
42.95,1,102
43.06,1,102
43.17,1,102
43.28,1,102
43.39,1,102
43.5,1,102
43.61,1,102
43.72,1,102
43.83,1,102
43.94,1,102
44.05,1,102
44.16,1,102
44.27,1,102
44.38,1,102
44.48,1,102
44.59,1,102
44.7,1,102
44.81,1,102
44.92,1,102
45.03,1,102
45.14,1,102
45.25,1,102
45.36,1,102
45.47,1,102
45.58,1,102
45.69,1,102
45.8,1,102
45.91,1,102
46.02,1,102
46.13,1,102
46.23,1,102
46.34,1,102
46.45,1,102
46.56,1,102
46.67,1,102
46.78,1,102
46.89,1,103
47,1,103
47.11,1,103
47.22,1,103
47.33,1,103
47.44,1,103
47.55,1,103
47.66,1,103
47.77,1,103
47.88,1,103
47.98,1,103
48.09,1,103
48.2,1,103
48.31,1,103
48.42,1,103
48.53,1,103
48.64,1,103
48.75,1,103
48.86,1,103
48.97,1,103
49.08,1,103
49.19,1,103
49.3,1,103
49.41,1,103
49.52,1,104
49.63,1,104
49.73,1,104
49.84,1,104
49.95,1,104
50.06,1,104
50.17,1,104
50.28,1,104
50.39,1,104
50.5,1,104
50.61,1,104
50.72,1,104
50.83,1,104
50.94,1,104
51.05,1,104
51.16,1,104
51.27,1,105
51.38,1,105
51.48,1,105
51.59,1,105
51.7,1,105
51.81,1,105
51.92,1,105
52.03,1,105
52.14,1,105
52.25,1,105
52.36,1,105
52.47,1,105
52.58,1,105
52.69,1,105
52.8,1,105
52.91,1,105
53.02,1,106
53.13,1,106
53.23,1,106
53.34,1,106
53.45,1,106
53.56,1,106
53.67,1,106
53.78,1,107
53.89,1,107
54,1,107
54.11,1,107
54.22,1,107
54.33,1,107
54.44,1,107
54.55,1,107
54.66,1,107
54.77,1,107
54.88,1,107
54.98,1,107
55.09,1,107
55.2,1,107
55.31,1,107
55.42,1,107
55.53,1,107
55.64,1,107
55.75,1,107
55.86,1,107
55.97,1,107
56.08,1,107
56.19,1,107
56.3,1,107
56.41,1,107
56.52,1,107
56.63,1,107
56.73,1,107
56.84,1,107
56.95,1,107
57.06,1,107
57.17,1,107
57.28,1,107
57.39,1,106
57.5,1,106
57.61,1,106
57.72,1,106
57.83,1,106
57.94,1,106
58.05,1,106
58.16,1,106
58.27,1,106
58.38,1,106
58.48,1,106
58.59,1,106
58.7,1,106
58.81,1,106
58.92,1,106
59.03,1,105
59.14,1,105
59.25,1,105
59.36,1,105
59.47,1,105
59.58,1,105
59.69,1,105
59.8,1,105
59.91,1,105
60.02,1,105
60.13,1,105
60.23,1,105
60.34,1,105
60.45,1,105
60.56,1,105
60.67,1,105
60.78,1,105
60.89,1,104
61,1,104
61.11,1,104
61.22,1,104
61.33,1,104
61.44,1,104
61.55,1,104
61.66,1,104
61.77,1,104
61.88,1,104
61.98,1,104
62.09,1,104
62.2,1,104
62.31,1,104
62.42,1,104
62.53,1,104
62.64,1,103
62.75,1,103
62.86,1,103
62.97,1,103
63.08,1,103
63.19,1,103
63.3,1,103
63.41,1,103
63.52,1,103
63.63,1,103
63.73,1,103
63.84,1,103
63.95,1,103
64.06,1,103
64.17,1,103
64.28,1,103
64.39,1,102
64.5,1,102
64.61,1,102
64.72,1,102
64.83,1,102
64.94,1,102
65.05,1,102
65.16,1,102
65.27,1,101
65.38,1,101
